ADDRESS,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08
"101051049","03"," "," "," "," "," ","0020000000"
"101051052","01","0015630000"," "," "," "," "," "
"101051054","01","0018270000"," "," "," "," ","0003600000"
"101051056","01","0164550000"," "," "," "," "," "
"101051067","01"," "," ","0008400000"," "," "," "
"101051069","01"," ","0008280000"," "," "," "," "
"101052024","01"," ","0006000000"," "," "," "," "
"101052025","01"," ","0006620000"," "," "," "," "
"101052026","01","0014220000"," "," "," "," "," "
"101052027","01"," "," "," "," "," ","0024000000"
"101052029","01","0016900000"," "," "," "," "," "
"101052030","01","0029340000"," "," "," "," "," "
"101052032","02","0031370000","0030720000"," "," "," "," "
"101052034","01","0031350000"," "," "," "," "," "
"101052035","01","0030670000"," ","0006000000"," "," "," "
"101052036","01"," ","0008880000"," "," "," "," "
"101052039","01"," ","0001240000"," "," "," "," "
"101052040","01","0019000000"," "," "," "," "," "
"101052041","01"," ","0002025000"," "," "," "," "
"101052042","01","0037750000"," "," "," "," "," "
"101052045","01","0037750000"," "," "," "," "," "
"101052047","01"," "," "," ","0005170000"," "," "
"101052049","01"," ","0003300000"," "," "," "," "
"101052051","02"," "," "," ","0004400000"," "," "
"101052052","01"," ","0009000000"," "," "," "," "
"101052052","02","0031200000"," "," "," "," "," "
"101052053","01","0015000000"," "," "," "," "," "
"101052054","01","0019000000"," "," "," "," "," "
"101052054","03"," "," "," "," ","0000600000"," "
"101052055","01","0085000000"," "," "," "," "," "
"101052056","01","0037350000"," "," "," "," "," "
"101052057","01"," ","0007000000"," "," "," ","0065000000"
"101052058","01"," ","0151500000"," "," "," "," "
"101052060","01","0057200000"," "," "," "," "," "
"101052062","01","0018400000"," "," "," "," "," "
"101052067","01"," ","0025200000"," "," "," "," "
"101052068","01"," ","0003600000"," "," "," "," "
"101052069","01"," "," "," ","0001212000"," "," "
"101052069","02"," "," "," ","0006200000"," "," "
"101053021","01","0023350000"," "," "," "," "," "
"101053025","01","0019500000"," "," "," "," "," "
"101053031","01","0025500000"," "," "," "," "," "
"101053032","01"," ","0004800000"," "," "," "," "
"101053039","02","0"," "," "," ","0001000000"," "
"101053040","01","0014400000"," "," "," "," "," "
"101053041","01","0024600000"," "," "," "," "," "
"101053044","01"," "," "," "," "," ","0012000000"
"101053046","01"," "," "," "," "," ","0012000000"
"101053047","01"," ","0014400000"," "," "," "," "
"101053048","01","0038950000"," "," "," "," "," "
"101053050","01","0029710000","0002000000"," "," "," "," "
"101053051","01"," "," "," ","0007300000"," ","0002000000"
