ADDRESS,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08
"000044096","02","0028800000"," "," "," "," "," "
"000044098","01","0006000000","0003000000"," "," "," ","0003000000"
"000044100","01"," ","0001200000"," "," "," "," "
"000044107","01"," "," "," ","0002600000"," ","0001000000"
"000044108","01"," "," "," ","0002500000","0002000000","0001500000"
"000044110","01"," "," "," ","0002600000"," ","0000700000"
"000051116","01","0016500000","0002000000"," "," "," "," "
"000051117","01"," "," "," "," ","0000300000","0000550000"
"000051118","01"," "," "," "," "," ","0002000000"
"000051120","01"," "," ","0003000000"," "," ","0002800000"
"000052114","01"," "," "," ","0002700000"," ","0002000000"
"000053112","01"," "," "," ","0003500000"," ","0004000000"
"000053114","01"," "," "," ","0002600000"," ","0002400000"
"000053115","01"," "," ","0007200000","0002600000"," "," "
"000054111","01","0017330000"," "," "," "," "," "
"000054112","01"," "," "," ","0004100000"," "," "
"000054113","01"," "," "," ","0004000000"," "," "
"000054115","01"," ","0003600000"," "," "," ","0004000000"
"000061122","01"," "," "," "," "," ","0003800000"
"000061123","01"," "," "," "," ","0003800000"," "
"000061125","01"," "," "," "," "," ","0004000000"
"000061131","02"," "," "," "," ","0000650000"," "
"000061132","01"," "," "," "," "," ","0000450000"
"000061134","01"," "," "," ","0000400000"," ","0001000000"
"000061147","01"," ","0005000000"," "," "," "," "
"000062117","01"," "," "," ","0002800000"," ","0006000000"
"000062119","01"," "," "," ","0009300000"," "," "
"000062122","01"," ","0030240000"," "," "," ","0022200000"
"000062124","01","0022220000"," "," "," "," "," "
"000062125","01","0015900000"," "," "," "," "," "
"000062130","01"," "," "," "," "," ","0006000000"
"000062134","01","0008000000"," "," "," "," ","0002000000"
"000062136","01"," "," "," "," "," ","0003000000"
"000062139","01"," "," "," ","0004600000"," "," "
"000062141","01"," "," "," "," "," ","0012000000"
"000062142","01","0025500000"," "," "," "," ","0004600000"
"000062143","01"," "," "," ","0002850000"," ","0000900000"
"000062144","01"," "," "," ","0002850000"," ","0001800000"
"000062145","01"," "," "," ","0003500000"," "," "
"000071178","01"," "," "," "," "," ","0003000000"
"000071183","01"," "," "," "," "," ","0004000000"
"000071184","02"," "," "," "," "," ","0002500000"
"000071189","01"," ","0018000000"," "," "," "," "
"000072152","01"," "," "," "," "," ","0003000000"
"000072156","01"," "," "," ","0002200000"," ","0000400000"
"000072157","01"," "," "," "," "," ","0001000000"
"000072157","02"," "," "," "," ","0002500000"," "
"000072160","01","0016100000"," "," "," ","0006000000"," "
"000072162","01"," "," "," "," "," ","0002000000"
"000072165","01"," ","0000650000"," ","0002100000"," ","0000450000"
"000072166","01"," "," "," ","0003900000"," "," "
"000072172","01"," "," "," ","0002600000"," ","0000600000"
"000072176","01"," "," "," ","0002500000"," "," "
"000072178","01"," ","0007500000"," "," "," "," "
"000072181","01"," ","0016000000"," "," "," "," "
"000073151","01"," "," "," ","0002600000"," ","0000500000"
"000073153","01"," "," "," ","0002850000"," ","0006000000"
"000073161","01"," "," "," "," "," ","0001000000"
"000073162","01"," "," "," ","0006500000"," ","0008400000"
"000073163","01"," "," "," "," "," ","0004000000"
"000073166","01","0003000000","0018000000"," "," "," "," "
"000073166","09"," "," "," ","0002200000"," "," "
"000073168","01"," "," "," ","0006000000"," "," "
"000073169","01"," ","0005000000"," ","0000240000"," "," "
"000073170","01"," ","0004570000"," "," "," "," "
"000073174","01"," ","0015000000"," "," "," "," "
"000073176","01"," ","0007000000"," "," "," "," "
"000073177","01"," "," "," "," "," ","0007000000"
"000073180","01"," ","0005500000"," "," "," ","0000700000"
"000073184","01"," "," "," ","0002650000"," ","0001800000"
"000073185","01"," ","0004000000"," "," "," "," "
"000073186","01"," ","0030000000"," "," "," "," "
"000073187","01","0018000000"," ","0007200000"," "," "," "
"000073188","01"," "," "," "," "," ","0021600000"
"000074153","01"," "," "," ","0002600000"," "," "
"000074153","02"," "," "," ","0002600000"," "," "
"000074155","01"," ","0001300000"," ","0002200000"," ","0003000000"
"000074160","01"," "," "," "," "," ","0002000000"
"000074162","01"," "," "," "," "," ","0005000000"
"000074165","01"," "," "," "," "," ","0001920000"
"000074166","01"," "," "," ","0003900000"," ","0001000000"
"000074168","01"," "," "," ","0002050000"," ","0000400000"
